,state,state_po,county_fips,party_simplified,votes,totalVotes_x,totalStateVotes,totalVotes_y,votePercentage
276,ARKANSAS,AR,5119.0,DEMOCRAT,101339,169493,169493,338986,0.5978948983143847
277,ARKANSAS,AR,5119.0,REPUBLICAN,68154,169493,169493,338986,0.40210510168561536
278,ARKANSAS,AR,5121.0,REPUBLICAN,6227,6227,6227,6227,1.0
279,ARKANSAS,AR,5123.0,REPUBLICAN,5192,5192,5192,5192,1.0
280,ARKANSAS,AR,5125.0,DEMOCRAT,16256,56868,56868,113736,0.2858549623689949
281,ARKANSAS,AR,5125.0,REPUBLICAN,40612,56868,56868,113736,0.7141450376310051
282,ARKANSAS,AR,5127.0,DEMOCRAT,449,3517,3517,10551,0.12766562411145863
283,ARKANSAS,AR,5127.0,LIBERTARIAN,91,3517,3517,10551,0.02587432470855843
284,ARKANSAS,AR,5127.0,REPUBLICAN,2977,3517,3517,10551,0.8464600511799829
285,ARKANSAS,AR,5129.0,DEMOCRAT,26,253,3597,4103,0.007228245760355852
286,ARKANSAS,AR,5129.0,LIBERTARIAN,3,253,3597,4103,0.0008340283569641367
287,ARKANSAS,AR,5129.0,REPUBLICAN,3568,3597,3597,4103,0.99193772588268
288,ARKANSAS,AR,5131.0,DEMOCRAT,13037,46961,46961,140883,0.2776133387278806
289,ARKANSAS,AR,5131.0,LIBERTARIAN,1861,46961,46961,140883,0.03962862801047678
290,ARKANSAS,AR,5131.0,REPUBLICAN,32063,46961,46961,140883,0.6827580332616426
