location_key,county,cumulative_confirmed,cumulative_deceased
IL,17121,11933.0,217.0
IL,17123,2809.0,33.0
IL,17125,3980.0,61.0
IL,17127,3887.0,71.0
IL,17129,3560.0,24.0
IL,17131,4087.0,47.0
IL,17133,9633.0,131.0
IL,17135,9872.0,111.0
IL,17137,9661.0,145.0
IL,17139,4100.0,52.0
IL,17141,14285.0,136.0
IL,17143,47902.0,555.0
IL,17145,7509.0,107.0
IL,17147,4575.0,29.0
IL,17149,5050.0,70.0
IL,17151,961.0,8.0
IL,17153,1730.0,19.0
IL,17155,1158.0,10.0
IL,17157,10567.0,132.0
IL,17159,5167.0,83.0
IL,17161,33837.0,523.0
IL,17163,70571.0,776.0
IL,17165,7935.0,111.0
IL,17167,56637.0,432.0
IL,17169,1977.0,29.0
IL,17171,1276.0,12.0
IL,17173,6262.0,80.0
IL,17175,1536.0,33.0
IL,17177,11687.0,176.0
IL,17179,37644.0,500.0
IL,17181,5415.0,68.0
IL,17183,28275.0,313.0
IL,17185,3759.0,31.0
IL,17187,4089.0,87.0
IL,17189,3455.0,41.0
IL,17191,5320.0,85.0
IL,17193,4413.0,59.0
IL,17195,15768.0,268.0
IL,17197,169447.0,1612.0
IL,17199,22816.0,263.0
IL,17201,79104.0,855.0
IL,17203,10578.0,124.0
IN,18001,8038.0,112.0
IN,18003,115819.0,1188.0
IN,18005,24614.0,250.0
IN,18007,2779.0,21.0
IN,18009,3457.0,69.0
IN,18011,16777.0,186.0
IN,18013,2869.0,62.0
IN,18015,4667.0,68.0
IN,18017,13106.0,164.0
IN,18019,36854.0,396.0
IN,18021,7676.0,88.0
IN,18023,10158.0,127.0
IN,18025,2838.0,40.0
IN,18027,8331.0,154.0
IN,18029,15076.0,140.0
IN,18031,7913.0,147.0
IN,18033,12680.0,152.0
IN,18035,28172.0,444.0
IN,18037,13923.0,165.0
IN,18039,58442.0,734.0
IN,18041,7665.0,146.0
IN,18043,22135.0,302.0
IN,18045,6064.0,103.0
IN,18047,4906.0,65.0
IN,18049,5387.0,103.0
IN,18051,13288.0,146.0
IN,18053,19439.0,354.0
IN,18055,8299.0,139.0
IN,18057,91745.0,661.0
IN,18059,23288.0,258.0
IN,18061,12244.0,138.0
IN,18063,45098.0,555.0
IN,18065,14810.0,231.0
IN,18067,28360.0,449.0
IN,18069,13169.0,157.0
IN,18071,14073.0,130.0
IN,18073,10276.0,149.0
IN,18075,5444.0,78.0
IN,18077,10472.0,159.0
IN,18079,7715.0,108.0
IN,18081,47641.0,615.0
IN,18083,12643.0,153.0
IN,18085,21664.0,237.0
IN,18087,6260.0,102.0
IN,18089,123781.0,1834.0
IN,18091,29544.0,368.0
IN,18093,13669.0,261.0
